id,make,model,year,class,trans,drive,cyl,displ,fuel,hwy,cty
34657,Mazda,CX-5 4WD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),4-Wheel Drive,4,2,Regular,31,25
34658,Mazda,CX-5 4WD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),4-Wheel Drive,4,2.5,Regular,30,24
34659,Volvo,XC60 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3,Regular,24,17
34660,Volvo,XC70 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3,Regular,24,17
34661,Ford,Fusion FWD,2014,Midsize Cars,Automatic (S6),Front-Wheel Drive,4,1.5,Regular,37,25
34662,Ford,C-MAX Energi Plug-in Hybrid,2014,Midsize Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,2,Regular Gas and Electricity,41,44
34663,Audi,TT Roadster quattro,2015,Two Seaters,Auto(AM-S6),All-Wheel Drive,4,2,Premium,31,22
34664,Audi,TT Coupe quattro,2015,Subcompact Cars,Auto(AM-S6),All-Wheel Drive,4,2,Premium,31,22
34668,Subaru,WRX,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,2,Premium,28,21
34669,Subaru,WRX,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,2.5,Premium,23,17
34670,Volvo,S60 AWD,2015,Compact Cars,Automatic (S6),All-Wheel Drive,6,3,Regular,28,19
34671,Volvo,S80 AWD,2015,Midsize Cars,Automatic (S6),All-Wheel Drive,6,3,Regular,28,19
34672,Volvo,V60 AWD,2015,Small Station Wagons,Automatic (S6),All-Wheel Drive,5,2.5,Regular,29,20
34673,Volvo,V60 AWD,2015,Small Station Wagons,Automatic (S6),All-Wheel Drive,6,3,Regular,28,19
34674,Chevrolet,Silverado C15 2WD,2015,Standard Pickup Trucks 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.3,Gasoline or E85,23,16
34675,GMC,Sierra C15 2WD,2015,Standard Pickup Trucks 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.3,Gasoline or E85,23,16
34676,Chevrolet,Silverado K15 4WD,2015,Standard Pickup Trucks 4WD,Automatic 6-spd,4-Wheel Drive,8,5.3,Gasoline or E85,22,16
34677,GMC,Sierra K15 4WD,2015,Standard Pickup Trucks 4WD,Automatic 6-spd,4-Wheel Drive,8,5.3,Gasoline or E85,22,16
34678,Kia,Sorento FWD,2015,Small Sport Utility Vehicle 2WD,Automatic 6-spd,Front-Wheel Drive,4,2.4,Regular,27,20
34679,Cadillac,Escalade 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,6.2,Regular,21,15
34680,Cadillac,Escalade ESV 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,6.2,Regular,21,15
34681,Chevrolet,Tahoe C1500 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.3,Gasoline or E85,23,16
34682,Chevrolet,Suburban C1500 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.3,Gasoline or E85,23,16
34683,GMC,Yukon C1500 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,6.2,Regular,21,15
34684,GMC,Yukon C1500 XL 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,6.2,Regular,21,15
34685,GMC,Yukon C1500 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.3,Gasoline or E85,23,16
34686,GMC,Yukon C1500 XL 2WD,2015,Standard Sport Utility Vehicle 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.3,Gasoline or E85,23,16
34687,Cadillac,Escalade 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,6.2,Regular,21,14
34688,Cadillac,Escalade ESV 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,6.2,Regular,20,14
34689,Chevrolet,Tahoe K1500 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,5.3,Gasoline or E85,22,16
34690,Chevrolet,Suburban K1500 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,5.3,Gasoline or E85,22,15
34691,GMC,Yukon K1500 XL 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,6.2,Regular,20,14
34692,GMC,Yukon K1500 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,6.2,Regular,21,14
34693,GMC,Yukon K1500 XL 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,5.3,Gasoline or E85,22,15
34694,GMC,Yukon K1500 4WD,2015,Standard Sport Utility Vehicle 4WD,Automatic 6-spd,4-Wheel Drive,8,5.3,Gasoline or E85,22,16
34695,BMW,228i,2014,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,36,23
34696,Ford,C-MAX Hybrid FWD,2014,Large Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,2,Regular,40,45
34697,Ford,Transit Connect Van 2WD,2014,Special Purpose Vehicle 2WD,Automatic (S6),Front-Wheel Drive,4,1.6,Regular,30,22
34698,Nissan,NV200 Cargo Van,2014,Special Purpose Vehicle 2WD,Automatic (variable gear ratios),Front-Wheel Drive,4,2,Regular,25,24
34699,Nissan,Leaf,2014,Midsize Cars,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,101,126
34700,Jaguar,F-Type V8 S Convertible,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,8,5,Premium,23,16
34701,Jaguar,F-Type R Coupe,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,8,5,Premium,23,16
34702,Jaguar,F-Type Convertible,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,6,3,Premium,28,20
34703,Jaguar,F-Type Coupe,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,6,3,Premium,28,20
34704,Jaguar,F-Type S Convertible,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,6,3,Premium,27,19
34705,Jaguar,F-Type S Coupe,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,6,3,Premium,27,19
34706,Jaguar,XK,2015,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,8,5,Premium,24,16
34707,Jaguar,XK Convertible,2015,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,8,5,Premium,22,16
34708,Jaguar,XK,2015,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,8,5,Premium,22,15
34709,Jaguar,XK Convertible,2015,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,8,5,Premium,22,15
34710,Audi,A3 quattro,2015,Subcompact Cars,Auto(AM-S6),All-Wheel Drive,4,1.8,Premium,33,24
34711,Subaru,WRX,2015,Compact Cars,Auto(AV-S8),All-Wheel Drive,4,2,Premium,25,19
34712,Jaguar,XF,2015,Midsize Cars,Automatic (S8),Rear-Wheel Drive,8,5,Premium,23,15
34713,Jaguar,XJ,2015,Large Cars,Automatic (S8),Rear-Wheel Drive,8,5,Premium,23,15
34714,Jaguar,XJL,2015,Large Cars,Automatic (S8),Rear-Wheel Drive,8,5,Premium,23,15
34715,Subaru,Forester AWD,2015,Small Sport Utility Vehicle 4WD,Manual 6-spd,All-Wheel Drive,4,2.5,Regular,29,22
34716,Subaru,Forester AWD,2015,Small Sport Utility Vehicle 4WD,Auto(AV-S6),All-Wheel Drive,4,2.5,Regular,32,24
34717,Subaru,Forester AWD,2015,Small Sport Utility Vehicle 4WD,Auto(AV-S8),All-Wheel Drive,4,2,Premium,28,23
34718,BMW,428i Convertible,2014,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34719,Honda,Civic Hybrid,2014,Compact Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,1.5,Regular,47,44
34721,Ram,1500 2WD,2014,Standard Pickup Trucks 2WD,Automatic 8-spd,Rear-Wheel Drive,6,3,Diesel,28,20
34722,Ram,1500 4WD,2014,Standard Pickup Trucks 4WD,Automatic 8-spd,4-Wheel Drive,6,3,Diesel,27,19
34723,Toyota,Highlander Hybrid 4WD,2014,Standard Sport Utility Vehicle 4WD,Auto(AV-S6),All-Wheel Drive,6,3.5,Regular,28,27
34724,Toyota,Highlander Hybrid 4WD LE Plus,2014,Standard Sport Utility Vehicle 4WD,Auto(AV-S6),All-Wheel Drive,6,3.5,Regular,28,28
34725,BMW,228i,2014,Subcompact Cars,Manual 6-spd,Rear-Wheel Drive,4,2,Premium,34,22
34726,BMW,M235i,2014,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,32,22
34727,BMW,M235i,2014,Subcompact Cars,Manual 6-spd,Rear-Wheel Drive,6,3,Premium,28,19
34728,Honda,Civic Natural Gas,2014,Compact Cars,Automatic 5-spd,Front-Wheel Drive,4,1.8,CNG,38,27
34729,Roush Performance,F150 Pickup 2WD,2014,Standard Pickup Trucks 2WD,Automatic (S6),Rear-Wheel Drive,8,6.2,Premium,12,10
34730,Roush Performance,F150 Pickup 2WD,2014,Standard Pickup Trucks 2WD,Automatic (S6),Rear-Wheel Drive,8,5,Premium,15,12
34731,Roush Performance,F150 Raptor Pickup 4WD,2014,Standard Pickup Trucks 4WD,Automatic (S6),Part-time 4-Wheel Drive,8,6.2,Premium,12,10
34732,Roush Performance,F150 Pickup 4WD,2014,Standard Pickup Trucks 4WD,Automatic (S6),Part-time 4-Wheel Drive,8,6.2,Premium,12,10
34733,Roush Performance,F150 Pickup 4WD,2014,Standard Pickup Trucks 4WD,Automatic (S6),4-Wheel Drive,8,5,Premium,15,12
34734,Aston Martin,V8 Vantage S,2011,Two Seaters,Auto(AM7),Rear-Wheel Drive,8,4.7,Premium,21,14
34735,Spyker,C8 Aileron,2011,Two Seaters,Automatic 6-spd,Rear-Wheel Drive,8,4.2,Premium,21,14
34736,Lotus,Elise/Exige,2011,Two Seaters,Manual 6-spd,Rear-Wheel Drive,4,1.8,Premium,27,21
34737,Lotus,Elise/Exige,2011,Two Seaters,Manual 6-spd,Rear-Wheel Drive,4,1.8,Premium,26,20
34738,Porsche,911 GT3 RS,2011,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,4,Premium,19,13
34739,Jaguar,XK,2011,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,8,5,Premium,22,15
34740,Lotus,Evora,2011,Minicompact Cars,Manual 6-spd,Rear-Wheel Drive,6,3.5,Premium,26,18
34741,Lotus,Evora,2011,Minicompact Cars,Manual 6-spd,Rear-Wheel Drive,6,3.5,Premium,26,17
34742,Lotus,Evora,2011,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,6,3.5,Premium,28,20
34743,Lotus,Evora,2011,Minicompact Cars,Manual 6-spd,Rear-Wheel Drive,6,3.5,Premium,27,18
34744,Scion,iQ,2011,Minicompact Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,1.3,Regular,37,36
34745,BMW,M1 Coupe,2011,Subcompact Cars,Manual 6-spd,Rear-Wheel Drive,6,3,Premium,26,19
34746,Roush Performance,Stage 3 Mustang,2011,Subcompact Cars,Manual 6-spd,Rear-Wheel Drive,8,5,Premium,21,14
34747,Acura,TSX,2011,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,2.4,Premium,29,21
34748,Acura,TSX,2011,Compact Cars,Automatic (S5),Front-Wheel Drive,4,2.4,Premium,31,22
34749,Acura,TSX,2011,Compact Cars,Automatic (S5),Front-Wheel Drive,6,3.5,Premium,28,19
34750,Mercedes-Benz,C300,2011,Compact Cars,Manual 6-spd,Rear-Wheel Drive,6,3,Premium,26,18
34751,Chrysler,300,2011,Large Cars,Automatic 5-spd,Rear-Wheel Drive,6,3.6,Regular,27,18
34752,Dodge,Charger,2011,Large Cars,Automatic 5-spd,Rear-Wheel Drive,6,3.6,Regular,27,18
34753,Jaguar,XJ,2011,Large Cars,Automatic (S6),Rear-Wheel Drive,8,5,Premium,21,15
34754,Maybach,57,2011,Large Cars,Automatic 5-spd,Rear-Wheel Drive,12,5.5,Premium,16,10
34755,Maybach,62,2011,Large Cars,Automatic 5-spd,Rear-Wheel Drive,12,5.5,Premium,16,10
34756,Maybach,57 S,2011,Large Cars,Automatic 5-spd,Rear-Wheel Drive,12,6,Premium,16,10
34757,Maybach,62 S,2011,Large Cars,Automatic 5-spd,Rear-Wheel Drive,12,6,Premium,16,10
34758,Acura,TSX Wagon,2011,Small Station Wagons,Automatic (S5),Front-Wheel Drive,4,2.4,Premium,30,22
34759,Ford,Expedition Limo. 2WD FFV,2011,Sport Utility Vehicle - 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.4,Gasoline or E85,16,11
34760,Jeep,Grand Cherokee 2WD,2011,Sport Utility Vehicle - 2WD,Automatic 5-spd,Rear-Wheel Drive,6,3.6,Regular,23,16
34761,Kia,Sportage 2WD,2011,Sport Utility Vehicle - 2WD,Automatic 6-spd,Front-Wheel Drive,4,2,Regular,27,22
34762,Lincoln,Navigator Limo. 2WD FFV,2011,Sport Utility Vehicle - 2WD,Automatic 6-spd,Rear-Wheel Drive,8,5.4,Gasoline or E85,16,11
34763,Jeep,Grand Cherokee 4WD,2011,Sport Utility Vehicle - 4WD,Automatic 5-spd,4-Wheel Drive,6,3.6,Regular,22,16
34764,Kia,Sportage 4WD,2011,Sport Utility Vehicle - 4WD,Automatic 6-spd,4-Wheel Drive,4,2,Regular,25,21
34765,Lincoln,MKT Hearse AWD,2011,Sport Utility Vehicle - 4WD,Automatic (S6),All-Wheel Drive,6,3.7,Regular,20,14
34766,Nissan,Murano CrossCabriolet,2011,Sport Utility Vehicle - 4WD,Automatic (variable gear ratios),All-Wheel Drive,6,3.5,Premium,22,17
34767,Hyundai,Genesis RWD,2015,Large Cars,Automatic 8-spd,Rear-Wheel Drive,6,3.8,Regular,29,18
34768,Hyundai,Genesis AWD,2015,Large Cars,Automatic 8-spd,All-Wheel Drive,6,3.8,Regular,25,16
34769,Hyundai,Genesis RWD,2015,Large Cars,Automatic 8-spd,Rear-Wheel Drive,8,5,Premium,23,15
34770,Cadillac,ELR,2014,Subcompact Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,1.4,Premium Gas or Electricity,35,31
34771,Audi,A3,2015,Subcompact Cars,Auto(AM-S6),Front-Wheel Drive,4,2,Premium,33,23
34772,Honda,Civic,2014,Compact Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,1.8,Regular,39,30
34773,Honda,Civic,2014,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,2.4,Premium,31,22
34774,Honda,Civic HF,2014,Compact Cars,Automatic (variable gear ratios),Front-Wheel Drive,4,1.8,Regular,41,31
34775,Tesla,Model S (85 kW-hr battery pack),2014,Large Cars,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,90,88
34776,Tesla,Model S (60 kW-hr battery pack),2014,Large Cars,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,97,94
34777,Chrysler,200 AWD,2015,Midsize Cars,Automatic 9-spd,All-Wheel Drive,6,3.6,Regular,29,18
34778,Lexus,RX 350,2015,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,6,3.5,Regular,25,18
34779,Lexus,RX 450h,2015,Small Sport Utility Vehicle 2WD,Auto(AV-S6),Front-Wheel Drive,6,3.5,Premium,28,32
34780,Lexus,RX 350 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,6,3.5,Regular,26,18
34781,Lexus,RX 350 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.5,Regular,24,18
34782,Lexus,RX 450h AWD,2015,Small Sport Utility Vehicle 4WD,Auto(AV-S6),All-Wheel Drive,6,3.5,Premium,28,30
34783,BMW,435i Convertible,2014,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,30,20
34784,Honda,Civic,2014,Compact Cars,Auto(AV-S7),Front-Wheel Drive,4,1.8,Regular,38,29
34785,Honda,Civic,2014,Compact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,36,28
34786,Mercedes-Benz,CLA250 4matic,2014,Compact Cars,Auto(AM7),4-Wheel Drive,4,2,Premium,32,24
34787,Dodge,Dart,2014,Midsize Cars,Auto(AM6),Front-Wheel Drive,4,1.4,Premium,37,27
34788,BMW,X5 xDrive35d,2014,Standard Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,6,3,Diesel,31,23
34789,Porsche,Panamera S E-Hybrid,2014,Large Cars,Auto(AM-S8),Rear-Wheel Drive,6,3,Premium and Electricity,29,23
34790,MINI,Cooper (3-doors),2014,Subcompact Cars,Automatic (S6),Front-Wheel Drive,3,1.5,Premium,41,29
34791,MINI,Cooper (3-doors),2014,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,3,1.5,Premium,42,30
34792,MINI,Cooper S (3-doors),2014,Subcompact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,38,25
34793,Chevrolet,Camaro,2014,Compact Cars,Manual 6-spd,Rear-Wheel Drive,8,7,Premium,19,13
34794,Ram,C/V,2014,Minivan - 2WD,Automatic 6-spd,Front-Wheel Drive,6,3.6,Regular,26,18
34795,BMW,Z4 sDrive28i,2015,Two Seaters,Automatic (S8),Rear-Wheel Drive,4,2,Premium,33,22
34796,BMW,Z4 sDrive28i,2015,Two Seaters,Manual 6-spd,Rear-Wheel Drive,4,2,Premium,34,22
34797,BMW,Z4 sDrive35i,2015,Two Seaters,Manual 6-spd,Rear-Wheel Drive,6,3,Premium,26,19
34798,BMW,Z4 sDrive35i,2015,Two Seaters,Auto(AM-S7),Rear-Wheel Drive,6,3,Premium,24,17
34799,BMW,Z4 sDrive35is,2015,Two Seaters,Auto(AM-S7),Rear-Wheel Drive,6,3,Premium,24,17
34800,MINI,Cooper Roadster,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,26
34801,MINI,Cooper Coupe,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,36,28
34802,MINI,Cooper S Roadster,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34803,MINI,Cooper S Coupe,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34804,MINI,John Cooper Works Coupe,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34805,MINI,John Cooper Works Roadster,2015,Two Seaters,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34806,MINI,Cooper Convertible,2015,Minicompact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,26
34807,MINI,Cooper S Convertible,2015,Minicompact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34808,MINI,John Cooper Works Convertible,2015,Minicompact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,34,25
34809,Bentley,Continental GT Convertible,2015,Subcompact Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,24,14
34810,Bentley,Continental GT,2015,Compact Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,25,15
34811,MINI,Cooper Countryman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,30,25
34812,MINI,Cooper Paceman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,30,25
34813,MINI,Cooper S Countryman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,32,25
34814,MINI,Cooper S Countryman,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,32,26
34815,MINI,Cooper S Countryman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34816,MINI,Cooper S Countryman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34817,MINI,Cooper S Paceman,2015,Compact Cars,Automatic (S6),Front-Wheel Drive,4,1.6,Premium,32,25
34818,MINI,Cooper S Paceman,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,32,26
34819,MINI,Cooper S Paceman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34820,MINI,Cooper S Paceman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34821,MINI,JCW Countryman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34822,MINI,JCW Countryman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34823,MINI,JCW Paceman All4,2015,Compact Cars,Automatic (S6),All-Wheel Drive,4,1.6,Premium,30,23
34824,MINI,JCW Paceman All4,2015,Compact Cars,Manual 6-spd,All-Wheel Drive,4,1.6,Premium,31,25
34825,Volkswagen,GTI,2015,Compact Cars,Auto(AM-S6),Front-Wheel Drive,4,2,Premium,33,25
34826,Volkswagen,GTI,2015,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,2,Premium,34,25
34827,Volvo,S60 FWD,2015,Compact Cars,Automatic (S8),Front-Wheel Drive,4,2,Regular,37,25
34828,Volvo,S60 FWD,2015,Compact Cars,Automatic (S8),Front-Wheel Drive,4,2,Premium,35,24
34829,Bentley,Flying Spur,2015,Midsize Cars,Automatic (S8),All-Wheel Drive,8,4,Premium,24,14
34830,Chrysler,200,2015,Midsize Cars,Automatic 9-spd,Front-Wheel Drive,4,2.4,Regular,36,23
34831,Chrysler,200,2015,Midsize Cars,Automatic 9-spd,Front-Wheel Drive,6,3.6,Regular,32,19
34832,Volvo,S80 FWD,2015,Midsize Cars,Automatic (S8),Front-Wheel Drive,4,2,Regular,37,25
34833,BMW,X1 xDrive28i,2015,Large Cars,Automatic (S8),All-Wheel Drive,4,2,Premium,32,22
34834,BMW,X1 xDrive35i,2015,Large Cars,Automatic (S6),All-Wheel Drive,6,3,Premium,27,18
34835,BMW,X3 sDrive 28i,2015,Large Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,28,21
34836,Honda,Fit,2015,Small Station Wagons,Auto(AV-S7),Front-Wheel Drive,4,1.5,Regular,38,32
34837,Honda,Fit,2015,Small Station Wagons,Manual 6-spd,Front-Wheel Drive,4,1.5,Regular,37,29
34838,Volvo,V60 FWD,2015,Small Station Wagons,Automatic (S8),Front-Wheel Drive,4,2,Regular,37,25
34839,Acura,RDX 2WD,2015,Small Sport Utility Vehicle 2WD,Automatic (S6),Front-Wheel Drive,6,3.5,Premium,28,20
34840,Volvo,XC60 FWD,2015,Small Sport Utility Vehicle 2WD,Automatic (S8),Front-Wheel Drive,4,2,Regular,31,24
34841,Volvo,XC70 FWD,2015,Small Sport Utility Vehicle 2WD,Automatic (S8),Front-Wheel Drive,4,2,Regular,31,24
34842,Volvo,XC60 FWD,2015,Small Sport Utility Vehicle 2WD,Automatic (S8),Front-Wheel Drive,4,2,Premium,30,22
34843,Acura,RDX 4WD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.5,Premium,27,19
34844,BMW,X3 xDrive28i,2015,Small Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,4,2,Premium,28,21
34845,BMW,X3 xDrive35i,2015,Small Sport Utility Vehicle 4WD,Automatic (S8),All-Wheel Drive,6,3,Premium,26,19
34846,Volvo,XC70 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.2,Regular,25,18
34847,Volvo,XC60 AWD,2015,Small Sport Utility Vehicle 4WD,Automatic (S6),All-Wheel Drive,6,3.2,Regular,25,18
34848,MINI,Cooper S Convertible,2015,Minicompact Cars,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,35,26
34849,Subaru,BRZ,2015,Minicompact Cars,Manual 6-spd,Rear-Wheel Drive,4,2,Premium,30,22
34850,Subaru,BRZ,2015,Minicompact Cars,Automatic (S6),Rear-Wheel Drive,4,2,Premium,34,25
34851,BMW,428i Convertible,2015,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34852,BMW,640i Coupe,2015,Subcompact Cars,Automatic (S8),Rear-Wheel Drive,6,3,Premium,32,21
34853,BMW,528i,2015,Midsize Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34854,BMW,X1 sDrive28i,2015,Large Cars,Automatic (S8),Rear-Wheel Drive,4,2,Premium,34,23
34855,Honda,Fit,2015,Small Station Wagons,Automatic (variable gear ratios),Front-Wheel Drive,4,1.5,Regular,41,33
34856,Porsche,918 Spyder,2015,Two Seaters,Auto(AM-S7),All-Wheel Drive,8,4.6,Premium Gas or Electricity,24,20
34857,BMW,428i xDrive Convertible,2014,Subcompact Cars,Automatic (S8),All-Wheel Drive,4,2,Premium,33,21
34858,MINI,Cooper S (3-doors),2014,Subcompact Cars,Automatic (S6),Front-Wheel Drive,4,2,Premium,38,27
34859,BYD,e6,2014,Small Sport Utility Vehicle 2WD,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,65,61
34860,BYD,e6,2013,Small Sport Utility Vehicle 2WD,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,65,61
34861,MINI,Cooper Roadster,2015,Two Seaters,Manual 6-spd,Front-Wheel Drive,4,1.6,Premium,34,27
